Tribe,Country,Image,Description,Face shape:,Eye shape and size:,Nose shape:,Mouth shape:,Presence and style of scarification or tattoos:,Presence and type of headdress or hair representation:,Color palette used:,Presence of additional elements:,Overall size and proportions:,Material used:,Surface texture:,Presence and style of geometric patterns:,
Mossi ,Burkina Faso,https://www.bruno-mignot.com/galeries/8706-medium_default/masque-singe-polychrome-mossi-gurunsi-burkina-faso.jpg,"Les Mossi du Burkina Faso maintiennent une structure sociale hiérarchique complexe, avec le Mogho Naba comme chef suprême traditionnel.",Rectangular,Small,Absent,Absent,Geometric,Elaborate,Vibrant,Symbolic objects,Large,Wood,Rough,Geometric,Rectangular
Mumuye,Nigeria,https://www.bruno-mignot.com/galeries/8154-medium_default/masque-cimier-zoomorphe-mumuye-nigeria.jpg,"Les Mumuye du Nigeria sont connus pour leurs statues anthropomorphes aux formes abstraites, utilisées dans les rituels de guérison et de divination.",Asymmetrical,Protruding,Wide,Grimacing,Absent,Absent,Black and white,Symbolic objects,Medium,Wood,Rough,Absent,
Mama/Kantana,Nigeria,https://www.bruno-mignot.com/galeries/8143-medium_default/masque-agraire-mangam-masculin-mama-kantana-nigeria.jpg,"Les Mama/Kantana, un sous-groupe du peuple Dagari au Ghana et au Burkina Faso, sont connus pour leur système agricole durable et leurs rituels liés à la terre.",Round,Large,Wide,Open,Absent,Simple cap,Earth tones,None,Small,Wood,Rough,Linear,
Bembe / Babembe,RD Congo,https://www.bruno-mignot.com/galeries/6501-medium_default/masque-echwaboga-bembe-rdc-zaire.jpg,Les Bembe de la République du Congo et de la RDC sont réputés pour leurs petites statues alunga aux bras levés.,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
"Urhobo / Orubo",Nigeria,https://www.bruno-mignot.com/galeries/7832-medium_default/masque-cimier-anthropomorphe-janus-urhobo-nigeria.jpg,"Les Urhobo du delta du Niger au Nigeria sont connus pour leurs sculptures en bois polychromes représentant des divinités et des ancêtres, utilisées dans leurs rituels traditionnels.",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
Bangwa,Cameroun,https://www.bruno-mignot.com/galeries/7785-medium_default/masque-cimier-janus-troh-bangwa-cameroun-masques-africains.jpg,"Les Bangwa du Cameroun sont célèbres pour leurs sculptures expressives, notamment la statue de la ""Reine Bangwa"" devenue une icône de l'art africain.",Oval,Large,Wide,Open,Linear,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Linear,
Idoma ,Nigeria,https://www.bruno-mignot.com/galeries/5421-medium_default/masque-cimier-ungulali-idoma-nigeria.jpg,"Les Idoma du Nigeria sont célèbres pour leurs masques aux formes animales, utilisés dans les cérémonies funéraires et les festivals agricoles.",Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular,
Mambila,Cameroun,https://www.bruno-mignot.com/galeries/5394-medium_default/masque-suaga-due-ou-suaga-bor-mambila-nigeria-cameroun.jpg,Les Mambila du Nigeria et du Cameroun sont célèbres pour leurs statuettes tadep utilisées dans la divination.,Oval,Large,Thin,Small closed,Linear,Elaborate,Natural wood,None,Medium,Wood,Smooth,Geometric,
Yoruba,Nigeria,https://www.bruno-mignot.com/galeries/4852-medium_default/masque-gelede-yoruba-nigeria-culte-gelede.jpg,"Le peuple Yoruba d'Afrique de l'Ouest possède un riche panthéon de divinités appelées Orishas, la divination Ifa étant reconnue par l'UNESCO comme un chef-d'œuvre du patrimoine oral et immatériel de l'humanité.",Round,Large,Wide,Full lips,Linear,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Linear,
Senoufo,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/4489-medium_default/masque-wanyugo-poniugo-janiforme-senoufo-cote-ivoire.jpg,"Les Senoufo de Côte d'Ivoire, du Mali et du Burkina Faso sont connus pour leurs masques kpelié aux traits délicats, utilisés dans les cérémonies de la société du Poro.",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
Idoma ,Nigeria,https://www.bruno-mignot.com/galeries/4401-medium_default/masque-cimier-idoma-nigeria-masques-d-afrique.jpg,"Les Idoma du Nigeria sont célèbres pour leurs masques aux formes animales, utilisés dans les cérémonies funéraires et les festivals agricoles.",Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular,
Senoufo,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/4394-medium_default/masque-wanyugo-poniugo-janiforme-senoufo-cote-ivoire.jpg,"Les Senoufo de Côte d'Ivoire, du Mali et du Burkina Faso sont connus pour leurs masques kpelié aux traits délicats, utilisés dans les cérémonies de la société du Poro.",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
Bozo,Mali,https://www.bruno-mignot.com/galeries/4566-medium_default/masque-zoomorphe-belier-bozo-mali-masques-du-mali.jpg,"Les Bozo du Mali sont célèbres pour être les ""maîtres du fleuve Niger"" et leurs masques de poissons utilisés dans les rituels liés à la pêche.",Elongated,Slit,Beak-like,Absent,Absent,Elaborate,Natural wood,Animal features,Large,Wood,Smooth,Geometric,
Bidjogo,Guinee Bissau,https://www.bruno-mignot.com/galeries/4517-medium_default/masque-taureau-sauvage-bidjogo-guinee-bissau.jpg,Les Bidjogo de Guinée-Bissau sont réputés pour leurs masques-requins utilisés dans les rituels d'initiation.,Rectangular,Small,Absent,Absent,Geometric,Elaborate,Earth tones,None,Large,Wood,Rough,Geometric,
Mossi ,Burkina Faso,https://www.bruno-mignot.com/galeries/4281-medium_default/masque-cimier-adone-kurumba-mossi-burkina-masques-africain.jpg,"Les Mossi du Burkina Faso maintiennent une structure sociale hiérarchique complexe, avec le Mogho Naba comme chef suprême traditionnel.",Rectangular,Small,Absent,Absent,Geometric,Elaborate,Vibrant,Symbolic objects,Large,Wood,Rough,Geometric,Rectangular
Igbo ,Nigeria,https://www.bruno-mignot.com/galeries/4775-medium_default/masque-elephant-ogbodo-enyi-igbo-nigeria-masques-africains.jpg,"Le peuple Igbo du sud-est du Nigeria a une cérémonie de passage à l'âge adulte unique appelée ""Iwa Akwa"" où les jeunes hommes prouvent leur force en luttant et en grimpant à de grands poteaux lisses.",Oval,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular,Oval
Igbo ,Nigeria,https://www.bruno-mignot.com/galeries/4759-medium_default/masque-cimier-belier-ibo-igbo-nigeria-masques-africains.jpg,"Le peuple Igbo du sud-est du Nigeria a une cérémonie de passage à l'âge adulte unique appelée ""Iwa Akwa"" où les jeunes hommes prouvent leur force en luttant et en grimpant à de grands poteaux lisses.",Oval,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular,Oval
Mossi ,Burkina Faso,https://www.bruno-mignot.com/galeries/4720-medium_default/masque-ancien-anthropomorphe-mossi-burkina-faso.jpg,"Les Mossi du Burkina Faso maintiennent une structure sociale hiérarchique complexe, avec le Mogho Naba comme chef suprême traditionnel.",Rectangular,Small,Absent,Absent,Geometric,Elaborate,Vibrant,Symbolic objects,Large,Wood,Rough,Geometric,Rectangular
Mossi ,Burkina Faso,https://www.bruno-mignot.com/galeries/4028-medium_default/masque-cimier-adone-kurumba-mossi-burkina-masques-africain.jpg,"Les Mossi du Burkina Faso maintiennent une structure sociale hiérarchique complexe, avec le Mogho Naba comme chef suprême traditionnel.",Rectangular,Small,Absent,Absent,Geometric,Elaborate,Vibrant,Symbolic objects,Large,Wood,Rough,Geometric,Rectangular
Senoufo,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/1575-medium_default/masque-casque-kpeliyee-poro-senoufo-cote-d-ivoire.jpg,"Les Senoufo de Côte d'Ivoire, du Mali et du Burkina Faso sont connus pour leurs masques kpelié aux traits délicats, utilisés dans les cérémonies de la société du Poro.",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
Bidjogo,Guinee Bissau,https://www.bruno-mignot.com/galeries/26953-medium_default/masque-de-dos-zoomorphe-bidjogo-guinee-bissau.jpg,Les Bidjogo de Guinée-Bissau sont réputés pour leurs masques-requins utilisés dans les rituels d'initiation.,Rectangular,Small,Absent,Absent,Geometric,Elaborate,Earth tones,None,Large,Wood,Rough,Geometric,
Mumuye,Nigeria,https://www.bruno-mignot.com/galeries/10769-medium_default/masque-epaules-sukwava-mumuye-karim-nigeria.jpg,"Les Mumuye du Nigeria sont connus pour leurs statues anthropomorphes aux formes abstraites, utilisées dans les rituels de guérison et de divination.",Asymmetrical,Protruding,Wide,Grimacing,Absent,Absent,Black and white,Symbolic objects,Medium,Wood,Rough,Absent,
Limba,Sierra Leone,https://www.bruno-mignot.com/galeries/20232-medium_default/masque-d-epaules-limba-sierra-leone-guinee.jpg,Les Limba de Sierra Leone sont connus pour leur système de croyances complexe et leurs rituels liés à l'agriculture.,Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Earth tones,None,Medium,Wood,Rough,Linear,
Mumuye,Nigeria,https://www.bruno-mignot.com/galeries/8180-medium_default/masque-epaules-sukuwa-mumuye-nigeria.jpg,"Les Mumuye du Nigeria sont connus pour leurs statues anthropomorphes aux formes abstraites, utilisées dans les rituels de guérison et de divination.",Asymmetrical,Protruding,Wide,Grimacing,Absent,Absent,Black and white,Symbolic objects,Medium,Wood,Rough,Absent,
Baga,Guinee,https://www.bruno-mignot.com/galeries/4156-medium_default/masque-epaules-nimba-demba-baga-guinee-conakry.jpg,Les Baga de Guinée sont connus pour leurs grandes sculptures nimba représentant la fertilité et utilisées dans les cérémonies agricoles.,Elongated,Small,Beak-like,Small closed,Absent,Elaborate,Vibrant,Animal features,Extra large,Wood,Smooth,Geometric,
Mumuye,Nigeria,https://www.bruno-mignot.com/galeries/4708-medium_default/masque-epaules-sukwava-mumuye-ou-wurkum-nigeria.jpg,"Les Mumuye du Nigeria sont connus pour leurs statues anthropomorphes aux formes abstraites, utilisées dans les rituels de guérison et de divination.",Asymmetrical,Protruding,Wide,Grimacing,Absent,Absent,Black and white,Symbolic objects,Medium,Wood,Rough,Absent,
 Tchokwe,Angola,https://www.bruno-mignot.com/galeries/29632-medium_default/masque-de-main-chokwe-angola.jpg,"Les Tchokwe, présents en Angola, en RDC et en Zambie, sont célèbres pour leurs masques sculptés et leurs dessins sur sable utilisés dans la narration de contes traditionnels.",Oval,Slit,Thin,Small closed,Geometric,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Geometric,
Nuppe / Nupe,Nigeria,https://www.bruno-mignot.com/galeries/25632-medium_default/masque-de-main-nuppe-nigeria.jpg,Les Nupe du Nigeria sont réputés pour leur travail du bronze et leurs tissus teints à l'indigo.,Oval,Large,Wide,Open,Geometric,Elaborate,Earth tones,Symbolic objects,Medium,Wood,Smooth,Geometric,
Boulou / Bulu,Cameroun,https://www.bruno-mignot.com/galeries/24453-medium_default/marotte-janiforme-singe-ngil-bulu-boulou-cameroun.jpg,Les Boulou du Cameroun sont connus pour leurs masques utilisés dans les rites de passage et leurs contes traditionnels.,Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular,
Boulou / Bulu,Cameroun,https://www.bruno-mignot.com/galeries/24446-medium_default/marotte-janiforme-singe-ngil-bulu-boulou-cameroun.jpg,Les Boulou du Cameroun sont connus pour leurs masques utilisés dans les rites de passage et leurs contes traditionnels.,Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular,
Boulou / Bulu,Cameroun,https://www.bruno-mignot.com/galeries/24438-medium_default/marotte-singe-ngil-bulu-boulou-cameroun.jpg,Les Boulou du Cameroun sont connus pour leurs masques utilisés dans les rites de passage et leurs contes traditionnels.,Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular,
"Bwa / Bobo Bwa",Burkina Faso,https://www.bruno-mignot.com/galeries/20656-medium_default/masque-a-poignee-du-do-bwa-mossi-burkina-faso.jpg,"Les Bwa du Burkina Faso et du Mali sont célèbres pour leurs masques en bois ornés de motifs géométriques noirs et blancs, utilisés dans les cérémonies agricoles et d'initiation.",Rectangular,Small,Absent,Absent,Geometric,Elaborate,Vibrant,Animal features,Large,Wood,Rough,Geometric,
 Tchokwe,Angola,https://www.bruno-mignot.com/galeries/17752-medium_default/masque-mwana-pwo-de-main-chokwe-tschokwe-angola.jpg,"Les Tchokwe, présents en Angola, en RDC et en Zambie, sont célèbres pour leurs masques sculptés et leurs dessins sur sable utilisés dans la narration de contes traditionnels.",Oval,Slit,Thin,Small closed,Geometric,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Geometric,
 Tchokwe,Angola,https://www.bruno-mignot.com/galeries/17170-medium_default/masque-mwana-pwo-de-main-chokwe-tschokwe-angola.jpg,"Les Tchokwe, présents en Angola, en RDC et en Zambie, sont célèbres pour leurs masques sculptés et leurs dessins sur sable utilisés dans la narration de contes traditionnels.",Oval,Slit,Thin,Small closed,Geometric,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Geometric,
"Songye / Basongje",RD Congo,https://www.bruno-mignot.com/galeries/16880-medium_default/masque-kifwebe-de-main-songye-rdc-zaire.jpg,"Les Songye de la République démocratique du Congo sont célèbres pour leurs masques Kifwebe aux motifs géométriques, utilisés dans les cérémonies de la société secrète Bwadi Bwa Kifwebe.",Round,Large,Wide,Full lips,Linear,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Linear,
Toma / Loma,Liberia,https://www.bruno-mignot.com/galeries/13678-medium_default/masque-marotte-a-poignee-yaka-rdc-zaire.jpg,"Les Toma du Libéria et de Guinée sont réputés pour leurs masques utilisés dans les cérémonies des sociétés secrètes, notamment la société Poro (qu'ils partagent avec d'autres groupes ethniques de la région) pour les hommes et la société Sande pour les femmes.",Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular,
 Tchokwe,Angola,https://www.bruno-mignot.com/galeries/9275-medium_default/masque-ngulu-de-main-chokwe-tschokwe-angola.jpg,"Les Tchokwe, présents en Angola, en RDC et en Zambie, sont célèbres pour leurs masques sculptés et leurs dessins sur sable utilisés dans la narration de contes traditionnels.",Oval,Slit,Thin,Small closed,Geometric,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Geometric,
 Tchokwe,Angola,https://www.bruno-mignot.com/galeries/9272-medium_default/masque-mwana-pwo-de-main-chokwe-tschokwe-angola.jpg,"Les Tchokwe, présents en Angola, en RDC et en Zambie, sont célèbres pour leurs masques sculptés et leurs dessins sur sable utilisés dans la narration de contes traditionnels.",Oval,Slit,Thin,Small closed,Geometric,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Geometric,
Yaka,RD Congo,https://www.bruno-mignot.com/galeries/8990-medium_default/masque-a-poignee-yaka-rdc-zaire.jpg,Les Yaka de la RDC et d'Angola sont célèbres pour leurs masques colorés utilisés dans les rituels d'initiation.,Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric,
Winiama,Burkina Faso,https://www.bruno-mignot.com/galeries/8862-medium_default/masque-a-double-crete-winiama-burkina-faso.jpg,Les Winiama du Burkina Faso sont réputés pour leurs masques planche aux formes géométriques abstraites.,Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
"Bwa / Bobo Bwa",Burkina Faso,https://www.bruno-mignot.com/galeries/6373-medium_default/masque-a-poignee-du-do-bwa-mossi-burkina-faso.jpg,"Les Bwa du Burkina Faso et du Mali sont célèbres pour leurs masques en bois ornés de motifs géométriques noirs et blancs, utilisés dans les cérémonies agricoles et d'initiation.",Rectangular,Small,Absent,Absent,Geometric,Elaborate,Vibrant,Animal features,Large,Wood,Rough,Geometric,
Lulua / Luluw,RD Congo,https://www.bruno-mignot.com/galeries/5246-medium_default/masque-a-poignee-lulua-rdc-zaire.jpg,"Les Lulua de la RDC sont connus pour leurs statues féminines aux coiffures élaborées, symboles de fertilité.",Oval,Slit,Thin,Small closed,Geometric,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Geometric,
Makonde / Wamakonde,Tanzanie,https://www.bruno-mignot.com/galeries/30468-medium_default/masque-rituel-lipico-makonde-tanzanie-afrique-est.jpg,"Les Makonde, présents en Tanzanie et au Mozambique, sont renommés pour leurs sculptures sur bois complexes, en particulier les sculptures de ""l'Arbre de Vie"" qui représentent des figures humaines entrelacées dans une structure en forme de tour.",Elongated,Slit,Absent,Absent,Geometric,Elaborate,Earth tones,None,Medium,Wood,Smooth,Geometric,
Igbo ,Nigeria,https://www.bruno-mignot.com/galeries/21884-medium_default/masque-ancien-de-maladie-ibo-igbo-nigeria-maladies.jpg,"Le peuple Igbo du sud-est du Nigeria a une cérémonie de passage à l'âge adulte unique appelée ""Iwa Akwa"" où les jeunes hommes prouvent leur force en luttant et en grimpant à de grands poteaux lisses.",Oval,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular,Oval
Igbo ,Nigeria,https://www.bruno-mignot.com/galeries/15881-medium_default/masque-de-maladie-ibo-igbo-nigeria.jpg,"Le peuple Igbo du sud-est du Nigeria a une cérémonie de passage à l'âge adulte unique appelée ""Iwa Akwa"" où les jeunes hommes prouvent leur force en luttant et en grimpant à de grands poteaux lisses.",Oval,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular,Oval
Igbo ,Nigeria,https://www.bruno-mignot.com/galeries/3997-medium_default/masque-ancien-de-maladie-ibo-igbo-nigeria-maladies.jpg,"Le peuple Igbo du sud-est du Nigeria a une cérémonie de passage à l'âge adulte unique appelée ""Iwa Akwa"" où les jeunes hommes prouvent leur force en luttant et en grimpant à de grands poteaux lisses.",Oval,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular,Oval
"Pende / Bapende",RD Congo,https://www.bruno-mignot.com/galeries/18110-medium_default/masque-mpangu-mbangu-pende.jpg,"Les Pende de la RDC sont célèbres pour leurs masques mbuya aux expressions dramatiques, utilisés dans les rites de passage et les cérémonies de circoncision.",Oval,Large,Wide,Open,Linear,Elaborate,Natural wood,Beads/cowries,Medium,Wood,Smooth,Linear,
"Dan / Yacouba",Cote d'Ivoire,https://www.bruno-mignot.com/galeries/17329-medium_default/masque-de-maladie-dan-yacouba-cote-ivoire.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
"Pende / Bapende",RD Congo,https://www.bruno-mignot.com/galeries/15508-medium_default/etrier-de-poulie-maladie-pende-rdc-zaire.jpg,"Les Pende de la RDC sont célèbres pour leurs masques mbuya aux expressions dramatiques, utilisés dans les rites de passage et les cérémonies de circoncision.",Oval,Large,Wide,Open,Linear,Elaborate,Natural wood,Beads/cowries,Medium,Wood,Smooth,Linear,
"Dan / Yacouba",Cote d'Ivoire,https://www.bruno-mignot.com/galeries/8921-medium_default/masque-de-maladie-dan-yacouba-cote-ivoire.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
"Pende / Bapende",RD Congo,https://www.bruno-mignot.com/galeries/8165-medium_default/masque-mpangu-mbangu-de-maladie-pende-rdc-zaire.jpg,"Les Pende de la RDC sont célèbres pour leurs masques mbuya aux expressions dramatiques, utilisés dans les rites de passage et les cérémonies de circoncision.",Oval,Large,Wide,Open,Linear,Elaborate,Natural wood,Beads/cowries,Medium,Wood,Smooth,Linear,
Igbo ,Nigeria,https://www.bruno-mignot.com/galeries/6151-medium_default/masque-ancien-de-maladie-ibo-igbo-nigeria-maladies.jpg,"Le peuple Igbo du sud-est du Nigeria a une cérémonie de passage à l'âge adulte unique appelée ""Iwa Akwa"" où les jeunes hommes prouvent leur force en luttant et en grimpant à de grands poteaux lisses.",Oval,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular,Oval
"Pende / Bapende",RD Congo,https://www.bruno-mignot.com/galeries/7481-medium_default/masque-mpangu-mbangu-de-maladie-pende-rdc-zaire.jpg,"Les Pende de la RDC sont célèbres pour leurs masques mbuya aux expressions dramatiques, utilisés dans les rites de passage et les cérémonies de circoncision.",Oval,Large,Wide,Open,Linear,Elaborate,Natural wood,Beads/cowries,Medium,Wood,Smooth,Linear,
Igbo ,Nigeria,https://www.bruno-mignot.com/galeries/2038-medium_default/masque-ancien-de-maladie-ibo-igbo-nigeria-maladies.jpg,"Le peuple Igbo du sud-est du Nigeria a une cérémonie de passage à l'âge adulte unique appelée ""Iwa Akwa"" où les jeunes hommes prouvent leur force en luttant et en grimpant à de grands poteaux lisses.",Oval,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular,Oval
Igbo ,Nigeria,https://www.bruno-mignot.com/galeries/2032-medium_default/masque-ancien-de-maladie-ibo-igbo-nigeria-maladies.jpg,"Le peuple Igbo du sud-est du Nigeria a une cérémonie de passage à l'âge adulte unique appelée ""Iwa Akwa"" où les jeunes hommes prouvent leur force en luttant et en grimpant à de grands poteaux lisses.",Oval,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular,Oval
Senoufo,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/26843-medium_default/masque-cracheur-de-feu-poniugo-en-fer-peint-senoufo-kouflo-cote-d-ivoire.jpg,"Les Senoufo de Côte d'Ivoire, du Mali et du Burkina Faso sont connus pour leurs masques kpelié aux traits délicats, utilisés dans les cérémonies de la société du Poro.",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
Verre / Duru,Cameroun,https://www.bruno-mignot.com/galeries/25618-medium_default/masque-en-alliage-de-bronze-verre-were-nigeria-cameroun.jpg,Verre / Duru : Les Verre sont connus pour leurs statuettes utilisées dans les rituels de divination et de guérison.,Asymmetrical,Protruding,Wide,Grimacing,Absent,Absent,Natural wood,Symbolic objects,Medium,Wood,Rough,Absent,
Ding / Tukongo,RD Congo,https://www.bruno-mignot.com/galeries/23978-medium_default/masque-en-cuivre-ngongo-munene-ding-tukongo-rdc-zaire.jpg,Ding ou Tukongo : Les Ding de la RDC sont célèbres pour leurs masques kifwebe aux motifs géométriques complexes.,Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Natural wood,None,Medium,Wood,Smooth,Geometric,
"Bini / Edo",Benin,https://www.bruno-mignot.com/galeries/19685-medium_default/medaillon-pendentif-omama-xvii-eme-belier-royal-bini-edo-bronzes-du-benin.jpg,"Les Bini sont réputés pour leurs sculptures en bronze et en laiton, notamment les têtes commémoratives des rois.",Oval,Large,Wide,Open,Linear,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Linear,
Senoufo,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/27077-medium_default/masque-kpeliye-en-bronze-senoufo-koulfo-cote-d-ivoire.jpg,"Les Senoufo de Côte d'Ivoire, du Mali et du Burkina Faso sont connus pour leurs masques kpelié aux traits délicats, utilisés dans les cérémonies de la société du Poro.",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
Gan,Burkina Faso,https://www.bruno-mignot.com/galeries/25761-medium_default/masque-d-autel-en-aluminium-gan-burkina-faso.jpg,Les Gan du Burkina Faso sont connus pour leur rôle historique dans le commerce de l'or et leurs masques utilisés dans les rituels agraires.,Slit,Thin,Absent,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Smooth,Geometric,,
Ding / Tukongo,RD Congo,https://www.bruno-mignot.com/galeries/24135-medium_default/masque-en-cuivre-ngongo-munene-ding-tukongo-rdc-zaire.jpg,Ding ou Tukongo : Les Ding de la RDC sont célèbres pour leurs masques kifwebe aux motifs géométriques complexes.,Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Natural wood,None,Medium,Wood,Smooth,Geometric,
Guerre,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/24074-medium_default/masque-en-alliage-de-metal-guere-cote-d-ivoire.jpg,"Les Guerre de Côte d'Ivoire sont connus pour leurs masques en bois aux traits exagérés, utilisés dans les rituels de protection et les cérémonies funéraires.",Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric,
Dioula,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/23077-medium_default/masque-en-alliage-de-metal-dioula-cote-d-ivoire.jpg,Dioula : Les Dioula d'Afrique de l'Ouest sont connus pour leur rôle historique dans le commerce transsaharien et leur artisanat du tissage.,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
Dioula,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/23060-medium_default/masque-en-alliage-de-metal-dioula-cote-d-ivoire.jpg,Dioula : Les Dioula d'Afrique de l'Ouest sont connus pour leur rôle historique dans le commerce transsaharien et leur artisanat du tissage.,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
Dioula,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/23045-medium_default/masque-en-alliage-de-metal-dioula-cote-d-ivoire.jpg,Dioula : Les Dioula d'Afrique de l'Ouest sont connus pour leur rôle historique dans le commerce transsaharien et leur artisanat du tissage.,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
Ding / Tukongo,RD Congo,https://www.bruno-mignot.com/galeries/23972-medium_default/masque-en-cuivre-ngongo-munene-ding-tukongo-rdc-zaire.jpg,Ding ou Tukongo : Les Ding de la RDC sont célèbres pour leurs masques kifwebe aux motifs géométriques complexes.,Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Natural wood,None,Medium,Wood,Smooth,Geometric,
Baoule,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/18436-medium_default/masque-en-alliage-de-metal-baoule-cote-ivoire.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Baoule,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/17010-medium_default/masque-en-alliage-de-metal-baoule-cote-ivoire.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Baoule,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/17966-medium_default/masquette-laiton-baoule-cote-ivoire.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
